"BehaviorSpace results (NetLogo 6.2.2)"
"./baby_2.nlogo"
"experiment_test"
"03/06/2022 23:25:17:674 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","ticks_stop","enable_conflict","A_number_citizens","conflict_count_per_cycle","enable_reproduce","A_tough_loose","b","B_tough_loose","B_number_citizens","[step]","count A_citizens","count B_citizens"
"4","300","true","150","2","true","0.5","0.23","0.3","250","25","84","225"
"3","300","true","150","2","true","0.5","0.23","0.3","150","42","61","128"
"8","300","true","150","4","true","0.5","0.23","0.3","250","25","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","62","121","22"
"1","300","true","150","2","true","0.3","0.23","0.3","150","52","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","54","22","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","63","121","22"
"2","300","true","150","2","true","0.3","0.23","0.3","250","23","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","43","61","128"
"6","300","true","150","4","true","0.3","0.23","0.3","250","27","56","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","55","11","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","64","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","56","11","121"
"1","300","true","150","2","true","0.3","0.23","0.3","150","53","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","44","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","65","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","57","11","121"
"8","300","true","150","4","true","0.5","0.23","0.3","250","26","112","237"
"4","300","true","150","2","true","0.5","0.23","0.3","250","26","84","225"
"1","300","true","150","2","true","0.3","0.23","0.3","150","54","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","45","61","128"
"2","300","true","150","2","true","0.3","0.23","0.3","250","24","112","237"
"6","300","true","150","4","true","0.3","0.23","0.3","250","28","56","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","55","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","46","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","66","121","22"
"8","300","true","150","4","true","0.5","0.23","0.3","250","27","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","56","128","61"
"4","300","true","150","2","true","0.5","0.23","0.3","250","27","84","225"
"3","300","true","150","2","true","0.5","0.23","0.3","150","47","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","67","121","22"
"6","300","true","150","4","true","0.3","0.23","0.3","250","29","28","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","58","11","121"
"5","300","true","150","4","true","0.3","0.23","0.3","150","68","121","22"
"2","300","true","150","2","true","0.3","0.23","0.3","250","25","112","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","57","128","61"
"3","300","true","150","2","true","0.5","0.23","0.3","150","48","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","69","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","59","11","121"
"6","300","true","150","4","true","0.3","0.23","0.3","250","30","28","237"
"4","300","true","150","2","true","0.5","0.23","0.3","250","28","84","225"
"1","300","true","150","2","true","0.3","0.23","0.3","150","58","128","61"
"5","300","true","150","4","true","0.3","0.23","0.3","150","70","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","60","11","121"
"3","300","true","150","2","true","0.5","0.23","0.3","150","49","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","71","121","22"
"1","300","true","150","2","true","0.3","0.23","0.3","150","59","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","61","11","121"
"8","300","true","150","4","true","0.5","0.23","0.3","250","28","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","72","121","22"
"7","300","true","150","4","true","0.5","0.23","0.3","150","62","11","121"
"2","300","true","150","2","true","0.3","0.23","0.3","250","26","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","63","5","121"
"3","300","true","150","2","true","0.5","0.23","0.3","150","50","61","128"
"4","300","true","150","2","true","0.5","0.23","0.3","250","29","84","225"
"6","300","true","150","4","true","0.3","0.23","0.3","250","31","28","237"
"1","300","true","150","2","true","0.3","0.23","0.3","150","60","128","61"
"7","300","true","150","4","true","0.5","0.23","0.3","150","64","5","121"
"3","300","true","150","2","true","0.5","0.23","0.3","150","51","61","128"
"5","300","true","150","4","true","0.3","0.23","0.3","150","73","121","11"
"1","300","true","150","2","true","0.3","0.23","0.3","150","61","128","61"
"2","300","true","150","2","true","0.3","0.23","0.3","250","27","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","52","61","128"
"7","300","true","150","4","true","0.5","0.23","0.3","150","65","5","121"
